index,file,result,whole,segment,candidate,cnn,raw,boxes,candidates,ok,content_type,size,url,error
224,captcha_224.jpg,,,,,,,,,1,application/octet-stream,15605,https://south-plus.org/ck.php?nowtime=1778229466497,
225,captcha_225.jpg,,,,,,,,,1,application/octet-stream,14495,https://south-plus.org/ck.php?nowtime=1778229467257,
226,captcha_226.jpg,,,,,,,,,1,application/octet-stream,15550,https://south-plus.org/ck.php?nowtime=1778229469629,
227,captcha_227.jpg,,,,,,,,,1,application/octet-stream,15733,https://south-plus.org/ck.php?nowtime=1778229472734,
228,captcha_228.jpg,,,,,,,,,1,application/octet-stream,17752,https://south-plus.org/ck.php?nowtime=1778229473514,
229,captcha_229.jpg,,,,,,,,,1,application/octet-stream,15119,https://south-plus.org/ck.php?nowtime=1778229475870,
230,captcha_230.jpg,,,,,,,,,1,application/octet-stream,16044,https://south-plus.org/ck.php?nowtime=1778229478960,
231,captcha_231.jpg,,,,,,,,,1,application/octet-stream,14273,https://south-plus.org/ck.php?nowtime=1778229482163,
232,captcha_232.jpg,,,,,,,,,1,application/octet-stream,15140,https://south-plus.org/ck.php?nowtime=1778229485342,
233,captcha_233.jpg,,,,,,,,,1,application/octet-stream,18216,https://south-plus.org/ck.php?nowtime=1778229488597,
234,captcha_234.jpg,,,,,,,,,1,application/octet-stream,15329,https://south-plus.org/ck.php?nowtime=1778229491679,
235,captcha_235.jpg,,,,,,,,,1,application/octet-stream,15654,https://south-plus.org/ck.php?nowtime=1778229494825,
236,captcha_236.jpg,,,,,,,,,1,application/octet-stream,15814,https://south-plus.org/ck.php?nowtime=1778229497901,
237,captcha_237.jpg,,,,,,,,,1,application/octet-stream,15600,https://south-plus.org/ck.php?nowtime=1778229501462,
238,captcha_238.jpg,,,,,,,,,1,application/octet-stream,15545,https://south-plus.org/ck.php?nowtime=1778229504295,
239,captcha_239.jpg,,,,,,,,,1,application/octet-stream,16031,https://south-plus.org/ck.php?nowtime=1778229505042,
240,captcha_240.jpg,,,,,,,,,1,application/octet-stream,13933,https://south-plus.org/ck.php?nowtime=1778229507498,
241,captcha_241.jpg,,,,,,,,,1,application/octet-stream,15926,https://south-plus.org/ck.php?nowtime=1778229510607,
242,captcha_242.jpg,,,,,,,,,1,application/octet-stream,14910,https://south-plus.org/ck.php?nowtime=1778229511368,
243,captcha_243.jpg,,,,,,,,,1,application/octet-stream,17526,https://south-plus.org/ck.php?nowtime=1778229513915,
244,captcha_244.jpg,,,,,,,,,1,application/octet-stream,18823,https://south-plus.org/ck.php?nowtime=1778229517032,
245,captcha_245.jpg,,,,,,,,,1,application/octet-stream,17124,https://south-plus.org/ck.php?nowtime=1778229520186,
246,captcha_246.jpg,,,,,,,,,1,application/octet-stream,17127,https://south-plus.org/ck.php?nowtime=1778229526077,
247,captcha_247.jpg,,,,,,,,,1,application/octet-stream,16015,https://south-plus.org/ck.php?nowtime=1778229529570,
248,captcha_248.jpg,,,,,,,,,1,application/octet-stream,15203,https://south-plus.org/ck.php?nowtime=1778229532663,
249,captcha_249.jpg,,,,,,,,,1,application/octet-stream,15060,https://south-plus.org/ck.php?nowtime=1778229535785,
250,captcha_250.jpg,,,,,,,,,1,application/octet-stream,17377,https://south-plus.org/ck.php?nowtime=1778229538948,
