index,file,label,result,whole,segment,candidate,raw,boxes
90,captcha_090.jpg,2202,2222,222,2222,,222,6
92,captcha_092.jpg,2026,226,226,22,,226,3
94,captcha_094.jpg,0414,911,4,44,,即yi4,2
96,captcha_096.jpg,6528,328,28,8,,c28,2
97,captcha_097.jpg,5678,678,68,678,,68,3
98,captcha_098.jpg,4047,4947,447,4994,,447,5
100,captcha_100.jpg,6224,622,622,6,,622,3
101,captcha_101.jpg,8481,8489,8489,84811,,8489w,7
102,captcha_102.jpg,7217,721,2,7,,r2,3
103,captcha_103.jpg,9359,939,939,939,,939,3
106,captcha_106.jpg,4275,427,427,4,,427,2
107,captcha_107.jpg,7191,7911,79,79,,79,6
108,captcha_108.jpg,0968,968,968,9,,968,1
109,captcha_109.jpg,6630,630,63,63,,63u,7
112,captcha_112.jpg,7485,7218,8,718,,8,3
113,captcha_113.jpg,6384,0384,0384,6384,,0384,4
116,captcha_116.jpg,1293,293,29,2,,29,3
117,captcha_117.jpg,3185,3985,3,385,,3b,5
118,captcha_118.jpg,8014,8004,4,84,,e4,4
119,captcha_119.jpg,7596,796,796,796,,796,4
120,captcha_120.jpg,8150,8800,8,8,,8血,1
122,captcha_122.jpg,5395,395,39,539,,39,4
123,captcha_123.jpg,9340,93,93,3,,9d3m,1
124,captcha_124.jpg,0638,8,8,8,,8,3
125,captcha_125.jpg,6134,613,63,63,,6r3,3
126,captcha_126.jpg,8562,862,62,862,,看62,3
129,captcha_129.jpg,6622,6122,822,622,,822,4
130,captcha_130.jpg,6757,6767,6767,677,,6767,3
131,captcha_131.jpg,4508,458,4,48,,4,5
132,captcha_132.jpg,0704,0714,4,74,,之4,2
133,captcha_133.jpg,0353,935,3,3,,3g,6
136,captcha_136.jpg,1951,9,9,9,,",9",3
137,captcha_137.jpg,7950,99,9,9,,9s,2
139,captcha_139.jpg,2010,2610,2,2,,2,2
140,captcha_140.jpg,3583,3483,3483,383,,3483,3
141,captcha_141.jpg,3783,783,73,783,,73,5
142,captcha_142.jpg,9776,97,97,97,,9y7c,4
144,captcha_144.jpg,5209,9209,29,29,,职29,5
146,captcha_146.jpg,2293,229,229,29,,229,3
147,captcha_147.jpg,1283,5281,283,83,,283,4
148,captcha_148.jpg,4376,4378,437,437,,437c,3
149,captcha_149.jpg,1028,1928,28,8,,dd28,3
150,captcha_150.jpg,7514,711,74,71,,74,2
151,captcha_151.jpg,0538,038,038,38,,md038,3
153,captcha_153.jpg,5961,191,9,9,,9,1
154,captcha_154.jpg,6067,667,6,67,,6c,3
155,captcha_155.jpg,7038,7039,73,38,,73g,2
156,captcha_156.jpg,2143,4013,23,23,,2mm3,3
158,captcha_158.jpg,0436,4636,4636,16,,4636,2
159,captcha_159.jpg,3479,3419,3419,347999,,341g9,8
162,captcha_162.jpg,0114,14,4,4,,4,1
163,captcha_163.jpg,7522,7922,722,72,,722,2
164,captcha_164.jpg,3112,312,32,3,,32,1
166,captcha_166.jpg,7722,790,22,2,,z22,2
169,captcha_169.jpg,7080,7086,8,78,,了8,2
171,captcha_171.jpg,4060,1060,6,6,,",6",2
172,captcha_172.jpg,3717,3767,,77,,之z,2
174,captcha_174.jpg,8421,9421,42,8422,,ed42,6
175,captcha_175.jpg,5665,5565,66,556,,T66,3
176,captcha_176.jpg,1035,43,43,3,,43,1
177,captcha_177.jpg,9806,986,986,98,,986,6
178,captcha_178.jpg,5479,479,479,79,,479,3
180,captcha_180.jpg,8044,844,844,84,,844,3
181,captcha_181.jpg,5206,0206,29,2,,29c,3
183,captcha_183.jpg,7646,764,764,764,,764,3
185,captcha_185.jpg,4147,417,4,47,,z4hz,5
190,captcha_190.jpg,9370,937,937,937,,937,4
193,captcha_193.jpg,5901,991,9,9,,点9,1
194,captcha_194.jpg,5089,5189,89,89,,好89,2
195,captcha_195.jpg,9940,9910,99,99,,99,2
196,captcha_196.jpg,7893,789,,789,,eg,6
197,captcha_197.jpg,2564,264,264,264,,264,3
198,captcha_198.jpg,4594,4194,44,19,,4g4,5
199,captcha_199.jpg,4970,49,49,497,,49z,5
